Field	Type	Null	Key	Default	Extra
id	bigint(20) unsigned	NO	PRI	NULL	auto_increment
user_id	bigint(20) unsigned	NO	MUL	NULL	
identity_number	varchar(255)	YES		NULL	
identity_type	varchar(255)	NO		KTP	
address_street	varchar(255)	YES		NULL	
address_village	varchar(255)	YES		NULL	
address_district	varchar(255)	YES		NULL	
address_city	varchar(255)	YES		NULL	
address_province	varchar(255)	YES		NULL	
address_postal_code	varchar(255)	YES		NULL	
coordinates	varchar(255)	YES		NULL	
billing_plan_id	bigint(20) unsigned	YES	MUL	NULL	
billing_cycle_start	int(11)	NO		1	
installation_date	date	YES		NULL	
status	varchar(255)	NO		active	
mikrotik_login	varchar(255)	YES	MUL	NULL	
mikrotik_password	varchar(255)	YES		NULL	
created_at	timestamp	YES		NULL	
updated_at	timestamp	YES		NULL	
deleted_at	timestamp	YES		NULL	
reseller_id	bigint(20) unsigned	YES	MUL	NULL	
router_id	bigint(20) unsigned	YES		NULL	
server_id	bigint(20) unsigned	YES	MUL	NULL	
service_category	varchar(255)	YES		NULL	
billing_due_date	date	YES		NULL	
billing_notes	text	YES		NULL	
is_taxed	tinyint(1)	NO		0	
unique_code	int(11)	YES		NULL	
